Neighbourhood,Incidents,Avg_Delay,Severe_Rate,Population_Density,Avg_Headway,Incidents_Per_Density
Newtonbrook East,10831,11.04,0.22,3756.7,2.62,2.8831
Newtonbrook West,361,12.34,0.18,5069.5,3.11,0.0712
North Riverdale,28,24.32,0.89,6321.0,3.14,0.0044
North Toronto,118,18.52,0.38,39514.9,3.69,0.003
Oakdale-Beverley Heights,308,13.6,0.32,3204.1,3.42,0.0961
Oakridge,4765,12.83,0.32,7296.9,2.72,0.653
Oakwood Village,490,10.48,0.05,9331.4,1.37,0.0525
Old East York,18,14.33,0.5,3898.0,3.88,0.0046
Palmerston-Little Italy,60,14.68,0.38,9140.9,2.46,0.0066
Parkwoods-O'Connor Hills,21,7.14,0.1,3367.5,3.68,0.0062
Pelmo Park-Humberlea,120,19.58,0.22,2640.2,2.93,0.0455
Playter Estates-Danforth,3227,10.55,0.12,8652.5,2.97,0.373
Pleasant View,26,15.38,0.38,5128.9,7.14,0.0051
Princess-Rosethorn,16,18.06,0.38,2160.0,4.11,0.0074
Regent Park,33,20.18,0.3,19606.3,2.88,0.0017
Rexdale-Kipling,24,62.75,0.62,4140.6,3.76,0.0058
Rockcliffe-Smythe,931,11.29,0.15,4384.8,3.94,0.2123
Roncesvalles,45,13.6,0.4,9710.9,2.04,0.0046
Rosedale-Moore Park,1790,14.79,0.43,4307.5,3.32,0.4156
Runnymede-Bloor West Village,3306,13.47,0.24,6350.4,2.83,0.5206
Rustic,156,17.72,0.13,4479.1,2.69,0.0348
Scarborough Village,80,17.23,0.19,5241.9,1.94,0.0153
South Eglinton-Davisville,72,30.18,0.36,24076.0,4.6,0.003
South Parkdale,413,11.78,0.11,8961.5,2.17,0.0461
South Riverdale,270,28.76,0.48,2521.7,3.08,0.1071
St Lawrence-East Bayfront-The Islands,313,16.04,0.29,2765.1,3.01,0.1132
St.Andrew-Windfields,4425,15.72,0.46,2308.9,3.42,1.9165
Steeles,833,10.48,0.16,4991.1,2.93,0.1669
Stonegate-Queensway,266,15.62,0.48,3228.1,3.62,0.0824
Tam O'Shanter-Sullivan,68,16.85,0.21,5017.6,3.69,0.0136
The Beaches,182,22.47,0.56,5982.1,4.07,0.0304
Thistletown-Beaumond Heights,93,15.71,0.23,2949.5,2.14,0.0315
Thorncliffe Park,179,17.07,0.23,6525.1,3.81,0.0274
Trinity-Bellwoods,28,8.18,0.04,8912.5,1.5,0.0031
University,427,18.91,0.44,4579.4,3.49,0.0932
Victoria Village,30,52.27,0.47,3651.8,7.72,0.0082
West Hill,81,15.79,0.3,2923.5,2.78,0.0277
West Humber-Clairville,3558,13.14,0.25,1104.6,2.49,3.2211
West Queen West,27,53.0,0.33,14605.7,3.27,0.0018
West Rouge,1407,14.75,0.34,2408.2,2.61,0.5843
Westminster-Branson,43,18.21,0.21,7008.3,3.73,0.0061
Weston,512,15.15,0.21,7279.0,3.32,0.0703
Weston-Pelham Park,218,20.51,0.89,7335.7,4.95,0.0297
Wexford/Maryvale,191,16.08,0.34,2761.6,2.63,0.0692
Willowdale West,1,34.0,1.0,5951.3,10.0,0.0002
Willowridge-Martingrove-Richview,29,14.59,0.38,4068.0,2.07,0.0071
Woburn North,639,20.86,0.38,4219.6,3.25,0.1514
Woodbine Corridor,38,44.21,0.39,7648.7,3.55,0.005
Woodbine-Lumsden,101,99.14,0.54,6616.2,2.89,0.0153
Wychwood,43,13.28,0.23,7610.0,3.01,0.0057
Yonge-Bay Corridor,1754,15.52,0.35,11303.3,2.77,0.1552
Yonge-Doris,71,10.82,0.24,42739.0,2.91,0.0017
Yonge-Eglinton,10156,15.93,0.41,7519.4,3.97,1.3506
York University Heights,4559,19.22,0.17,2133.0,2.22,2.1374
Yorkdale-Glen Park,1625,19.37,0.62,2753.3,2.29,0.5902
